"StockCode";"CUST_COUNT";"TOTALPRODREVENUE";"NO_OF_SALES";"AVG_REVENUE"
"10002";"31";"401.19";"60";"6.686500"
"10080";"20";"119.09";"24";"4.962083"
"10120";"24";"38.43";"28";"1.372500"
"10123C";"4";"3.25";"4";"0.812500"
"10123G";"1";"0.00";"1";"0.000000"
"10124A";"5";"6.72";"5";"1.344000"
"10124G";"4";"7.14";"4";"1.785000"
"10125";"41";"502.14";"78";"6.437692"
"10133";"96";"1472.52";"191";"7.709529"
"10134";"1";"0.00";"1";"0.000000"
"10135";"88";"1918.94";"171";"11.221871"
"11001";"38";"1854.95";"103";"18.009223"
"15030";"12";"41.47";"13";"3.190000"
"15034";"67";"704.85";"134";"5.260075"
"15036";"180";"16034.24";"497";"32.262052"
"15039";"56";"1939.54";"143";"13.563217"
"15044A";"51";"1347.57";"97";"13.892474"
"15044B";"36";"890.78";"59";"15.097966"
"15044C";"42";"982.49";"87";"11.292989"
"15044D";"51";"1711.01";"80";"21.387625"
"15056B";"114";"13176.32";"322";"40.920248"
"15056n";"164";"20535.32";"491";"41.823462"
"15056P";"76";"3411.67";"139";"24.544388"
"15058A";"33";"1379.82";"83";"16.624337"
"15058B";"25";"1587.21";"91";"17.441868"
"15058C";"22";"1213.58";"68";"17.846765"
"15060b";"59";"1543.67";"121";"12.757603"
"16008";"47";"266.87";"60";"4.447833"
"16010";"4";"3.60";"4";"0.900000"
"16011";"34";"347.13";"42";"8.265000"
"16012";"29";"231.00";"31";"7.451613"
"16014";"28";"4209.76";"43";"97.901395"
"16015";"20";"289.98";"27";"10.740000"
"16016";"33";"815.45";"48";"16.988542"
"16020C";"2";"69.90";"19";"3.678947"
"16033";"5";"100.80";"5";"20.160000"
"16043";"3";"11.76";"3";"3.920000"
"16045";"53";"320.00";"58";"5.517241"
"16046";"14";"57.80";"15";"3.853333"
"16048";"34";"157.90";"56";"2.819643"
"16049";"6";"82.08";"7";"11.725714"
"16052";"5";"95.14";"12";"7.928333"
"16053";"1";"0.00";"1";"0.000000"
"16054";"26";"110.28";"30";"3.676000"
"16151A";"4";"61.25";"4";"15.312500"
"16156L";"10";"126.00";"11";"11.454545"
"16156S";"126";"2163.00";"153";"14.137255"
"16161G";"17";"57.50";"17";"3.382353"
"16161M";"1";"10.50";"1";"10.500000"
"16161P";"161";"2455.92";"216";"11.370000"
"16161U";"88";"1425.00";"115";"12.391304"
"16162L";"6";"13.00";"10";"1.300000"
"16162M";"7";"11.76";"10";"1.176000"
"16168M";"18";"152.96";"40";"3.824000"
"16169E";"126";"1619.46";"130";"12.457385"
"16169K";"7";"63.00";"7";"9.000000"
"16169M";"22";"256.20";"23";"11.139130"
"16169N";"1";"10.50";"1";"10.500000"
"16169P";"3";"21.00";"3";"7.000000"
"16202A";"2";"3.50";"2";"1.750000"
"16202B";"3";"14.50";"3";"4.833333"
"16202E";"4";"1.95";"4";"0.487500"
"16206B";"1";"2.50";"1";"2.500000"
"16207A";"5";"163.10";"36";"4.530556"
"16207B";"4";"76.14";"20";"3.807000"
"16216";"38";"229.20";"44";"5.209091"
"16218";"40";"241.71";"59";"4.096780"
"16219";"38";"387.92";"95";"4.083368"
"16225";"56";"654.35";"99";"6.609596"
"16235";"62";"620.85";"162";"3.832407"
"16236";"52";"261.29";"126";"2.073730"
"16237";"99";"946.71";"277";"3.417726"
"16238";"52";"262.24";"123";"2.132033"
"16244B";"3";"7.85";"3";"2.616667"
"16248B";"8";"16.25";"8";"2.031250"
"16254";"8";"42.58";"18";"2.365556"
"16258A";"26";"141.59";"56";"2.528393"
"16259";"27";"277.96";"30";"9.265333"
"17001";"1";"20.88";"1";"20.880000"
"17003";"133";"5928.30";"234";"25.334615"
"17007B";"3";"50.40";"3";"16.800000"
"17011A";"1";"0.00";"1";"0.000000"
"17011F";"6";"50.76";"7";"7.251429"
"17012A";"20";"340.23";"64";"5.316094"
"17012B";"32";"539.75";"84";"6.425595"
"17012C";"38";"484.35";"86";"5.631977"
"17012D";"33";"494.54";"94";"5.261064"
"17012E";"3";"59.34";"9";"6.593333"
"17012F";"33";"500.00";"94";"5.319149"
"17013D";"11";"267.82";"15";"17.854667"
"17014A";"8";"71.19";"9";"7.910000"
"17021";"29";"632.34";"46";"13.746522"
"17028J";"1";"2.52";"1";"2.520000"
"17038";"18";"148.06";"33";"4.486667"
"17084A";"7";"42.00";"7";"6.000000"
"17084J";"8";"47.25";"8";"5.906250"
"17084N";"26";"313.31";"101";"3.102079"
"17084P";"13";"104.44";"39";"2.677949"
"17084R";"15";"529.92";"26";"20.381538"
"17090A";"8";"76.85";"9";"8.538889"
"17090D";"7";"36.25";"13";"2.788462"
"17091A";"20";"99.29";"27";"3.677407"
"17091J";"63";"822.33";"90";"9.137000"
"17096";"13";"455.98";"26";"17.537692"
"17107D";"39";"395.25";"43";"9.191860"
"17109D";"5";"32.35";"6";"5.391667"
"17129F";"12";"552.13";"58";"9.519483"
"17136A";"16";"31.83";"17";"1.872353"
"17164B";"9";"12.18";"9";"1.353333"
"17165D";"7";"28.35";"9";"3.150000"
"17174";"2";"1.68";"2";"0.840000"
"17191A";"1";"15.00";"2";"7.500000"
"18007";"14";"386.97";"29";"13.343793"
"18094C";"13";"268.93";"42";"6.403095"
"18097A";"5";"12.75";"5";"2.550000"
"18097C";"42";"894.26";"64";"13.972813"
"18098C";"24";"904.17";"64";"14.127656"
"20615";"26";"411.79";"94";"4.380745"
"20616";"20";"243.53";"71";"3.430000"
"20617";"19";"169.74";"41";"4.140000"
"20618";"21";"286.39";"76";"3.768289"
"20619";"15";"389.25";"96";"4.054688"
"20622";"24";"293.20";"50";"5.864000"
"20652";"21";"260.61";"75";"3.474800"
"20653";"5";"80.18";"32";"2.505625"
"20654";"19";"148.59";"46";"3.230217"
"20655";"20";"277.29";"98";"2.829490"
"20657";"21";"105.91";"33";"3.209394"
"20658";"38";"484.61";"97";"4.995979"
"20659";"19";"248.09";"62";"4.001452"
"20661";"4";"141.15";"33";"4.277273"
"20662";"4";"72.72";"19";"3.827368"
"20663";"4";"66.26";"20";"3.313000"
"20664";"4";"81.66";"19";"4.297895"
"20665";"37";"1100.82";"135";"8.154222"
"20666";"5";"41.53";"18";"2.307222"
"20667";"2";"49.69";"16";"3.105625"
"20668";"108";"1487.00";"209";"7.114833"
"20669";"35";"426.09";"94";"4.532872"
"20670";"6";"44.04";"11";"4.003636"
"20671";"3";"12.50";"3";"4.166667"
